Employee ID,First Name,Last Name,Gender,State,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
E00074,Lori,Page,Female,NY,Buffalo,2023-02-14,Marketing,Marketing Manager,Bachelor's Degree,Excellent,Yes,77817,1985-08-24,,79256
E00075,Eric,Fox,Female,IL,Springfield,2016-02-17,Marketing,Marketing Specialist,Associate Degree,Excellent,No,43877,1992-02-17,,40432
E00076,Edward,Hoffman,Female,FL,Miami,2017-02-09,Sales,Sales Manager,Bachelor's Degree,Satisfactory,Yes,90127,1978-02-28,,91794
E00077,Brandon,Peters,Female,FL,Orlando,2021-11-10,IT,Developer,Bachelor's Degree,Satisfactory,No,112424,1985-02-06,,114503
E00078,Jennifer,Pearson,Male,FL,Miami,2022-10-26,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,72343,1974-12-17,,75960
E00079,Andrea,Monroe,Female,TX,Houston,2020-05-23,Finance,Accountant,Bachelor's Degree,Satisfactory,Yes,84110,1983-11-05,,85666
E00080,Joshua,Washington,Male,IL,Springfield,2018-07-17,IT,Developer,Bachelor's Degree,Satisfactory,Yes,104050,1985-11-22,,109252
E00081,Susan,Mitchell,Male,TX,Dallas,2015-01-20,IT,IT Support,Associate Degree,Good,No,53308,1995-04-19,,50642
E00082,Clinton,Baker,Female,TX,Austin,2021-11-24,IT,System Admin,Bachelor's Degree,Needs Improvement,No,73756,1976-05-12,,75120
E00083,Kevin,Lutz,Male,FL,Miami,2015-02-18,Marketing,Marketing Manager,Bachelor's Degree,Good,No,86821,1970-02-15,,91162
E00084,Jerry,Dickson,Male,FL,Tampa,2024-04-28,Marketing,Marketing Specialist,Associate Degree,Good,No,61618,1992-09-08,2026-08-27,61618
E00085,Justin,Mathews,Male,FL,Miami,2022-01-19,Marketing,Marketing Specialist,Associate Degree,Satisfactory,Yes,47458,1994-02-08,,45085
E00086,William,Durham,Female,TX,Dallas,2015-11-30,Finance,Accountant,Bachelor's Degree,Satisfactory,No,70997,1970-12-15,,72310
E00087,Christine,Mccoy,Male,FL,Orlando,2022-08-29,Marketing,Marketing Specialist,Associate Degree,Good,No,59616,1992-02-01,,59616
E00088,Richard,Porter,Male,CA,San Francisco,2022-03-20,Sales,Sales Representative,High School Diploma,Good,No,55310,2002-03-23,,52544
E00089,Kim,Friedman,Male,TX,Houston,2016-03-30,Sales,Sales Representative,High School Diploma,Good,No,55451,1989-11-22,,52678
E00090,Elizabeth,Roberts,Male,IL,Naperville,2020-12-17,Finance,Accountant,Bachelor's Degree,Satisfactory,Yes,81085,1993-08-12,,80882
E00091,Jennifer,Perez,Male,TX,Austin,2015-07-19,HR,HR Assistant,Associate Degree,Satisfactory,Yes,43927,1983-06-28,2018-08-20,43927
E00092,Kristy,Patterson,Male,CA,San Francisco,2018-05-24,Marketing,Marketing Manager,Bachelor's Degree,Good,No,74558,1988-01-05,,78285
E00093,Lynn,White,Male,NY,Buffalo,2024-01-09,Marketing,Marketing Manager,Bachelor's Degree,Satisfactory,No,72792,1983-10-12,2025-04-14,76431
E00094,Kathleen,Dalton,Male,TX,Austin,2016-06-18,HR,HR Assistant,Associate Degree,Good,No,49362,1994-05-21,,46893
E00095,John,Beasley,Female,IL,Chicago,2022-07-18,Marketing,Marketing Manager,Bachelor's Degree,Satisfactory,No,68477,1990-01-06,,69743
E00096,Kristin,Hall,Female,CA,San Francisco,2018-10-20,Marketing,Marketing Specialist,Associate Degree,Good,No,43729,1995-12-07,,40296
E00097,Jordan,Lozano,Male,IL,Chicago,2021-06-22,Sales,Sales Representative,High School Diploma,Satisfactory,No,58232,1989-05-17,,58232
E00098,Ryan,Zhang,Male,FL,Miami,2019-02-27,HR,HR Manager,Bachelor's Degree,Satisfactory,No,80725,1969-06-01,,84761
E00099,Brandy,Davis,Male,NY,Buffalo,2020-09-28,Finance,Accountant,Bachelor's Degree,Satisfactory,No,62780,1984-01-08,,65919
E00100,Andrew,Stewart,Male,CA,San Diego,2022-06-19,IT,System Admin,Bachelor's Degree,Excellent,No,58846,1995-05-08,,58698
E00101,Juan,Walter,Male,CA,San Diego,2017-10-08,HR,HR Assistant,Associate Degree,Good,No,42216,1987-09-14,,42216
E00102,Tyler,Martinez,Female,TX,Dallas,2017-06-30,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,82177,1977-11-07,,83697
E00103,Carlos,Curtis,Male,TX,Houston,2019-07-23,Marketing,Marketing Specialist,Associate Degree,Satisfactory,No,61589,1989-05-24,2020-06-06,61589
E00104,Bryan,Holt,Male,TX,Houston,2019-12-05,IT,IT Support,Associate Degree,Needs Improvement,No,40678,1991-04-08,,38644
E00105,Erica,Edwards,Male,FL,Miami,2015-03-07,HR,HR Assistant,Associate Degree,Needs Improvement,No,41664,1980-05-03,,41664
E00106,Nicholas,Smith,Female,CA,San Francisco,2021-01-02,IT,IT Support,Associate Degree,Satisfactory,No,42881,2000-01-19,,39514
E00107,Kyle,Parsons,Male,FL,Miami,2016-11-22,Marketing,Marketing Manager,Bachelor's Degree,Satisfactory,No,85969,1987-06-08,,85754
E00108,Richard,Reilly,Male,TX,Houston,2016-12-28,IT,Developer,Bachelor's Degree,Satisfactory,No,82267,1978-01-10,,86380
E00109,Brady,Skinner,Male,FL,Orlando,2021-04-19,HR,HR Assistant,Associate Degree,Needs Improvement,Yes,38384,1994-10-03,,36464
E00110,Marcia,Mejia,Male,NY,Buffalo,2017-04-14,IT,Developer,Bachelor's Degree,Good,Yes,110698,1995-03-01,,110421
E00111,Dana,Crawford,Male,IL,Naperville,2017-12-07,Sales,Sales Representative,High School Diploma,Good,No,59568,1983-03-09,,59568
E00112,Scott,Ward,Male,TX,Houston,2020-10-31,IT,Developer,Bachelor's Degree,Satisfactory,No,102544,1990-05-24,,107671
E00113,Sherry,Fuller,Male,NY,New York,2023-09-19,Marketing,Marketing Specialist,Associate Degree,Good,No,40079,1988-10-28,,40079
E00114,Alexander,Barnes,Female,TX,Austin,2017-09-07,Finance,Accountant,Bachelor's Degree,Satisfactory,No,61002,1972-07-28,,62130
E00115,Chloe,Smith,Male,TX,Houston,2019-07-23,Finance,Financial Analyst,Master's Degree,Satisfactory,No,71846,1976-04-05,,79030
E00116,Leslie,Carson,Female,CA,San Diego,2020-03-12,Marketing,Marketing Specialist,Associate Degree,Satisfactory,No,48531,1998-03-17,,44721
E00117,Omar,Hammond,Male,FL,Miami,2024-06-11,IT,Developer,Bachelor's Degree,Good,No,88017,1988-03-20,,92417
E00118,Anthony,Hayes,Male,CA,Los Angeles,2016-02-17,Marketing,Marketing Specialist,Associate Degree,Satisfactory,Yes,43104,1982-10-11,2016-11-12,43104
E00119,Robert,Wong,Female,TX,Houston,2021-11-01,IT,IT Support,Associate Degree,Needs Improvement,No,43388,1990-07-20,2022-07-01,42086
E00120,Kristen,Cortez,Male,CA,San Diego,2020-11-02,Finance,Financial Analyst,Master's Degree,Excellent,Yes,80326,1989-08-22,,88358
E00121,Matthew,Chen,Female,CA,San Francisco,2023-07-14,Sales,Sales Manager,Bachelor's Degree,Good,Yes,93957,1987-12-18,,95695
E00122,Ashley,Cooper,Male,CA,San Diego,2019-06-17,Finance,Financial Analyst,Master's Degree,Satisfactory,Yes,87834,1976-02-18,,96617
E00123,Cory,Kirby,Male,TX,Dallas,2018-01-14,Finance,Accountant,Bachelor's Degree,Good,Yes,63695,1979-05-02,2020-05-26,66879
E00124,Sandra,Ryan,Male,NY,Buffalo,2024-03-02,Finance,Financial Analyst,Master's Degree,Excellent,No,80407,1983-05-14,,88447
E00125,Michael,Allen,Female,NY,New York,2020-12-30,Marketing,Marketing Manager,Bachelor's Degree,Needs Improvement,Yes,88924,1986-05-24,,90569
E00126,Paula,Boyd,Female,TX,Dallas,2016-06-27,HR,HR Assistant,Associate Degree,Good,No,35997,1987-02-03,,33171
E00127,Gina,Krueger,Male,IL,Naperville,2022-05-04,Sales,Sales Representative,High School Diploma,Satisfactory,No,58224,1996-03-25,,55312
E00128,Brandon,Gonzalez,Male,NY,Rochester,2015-04-13,Finance,Financial Analyst,Master's Degree,Good,No,69859,1989-02-08,,73002
E00129,Katrina,Hale,Male,FL,Orlando,2020-06-15,Marketing,Marketing Specialist,Associate Degree,Excellent,No,63519,1992-05-10,,60343
E00130,Kerri,Ali,Male,TX,Austin,2024-10-09,Finance,Accountant,Bachelor's Degree,Satisfactory,No,75500,1988-05-02,,79275
E00131,Michael,Phillips,Female,NY,New York,2023-12-01,IT,Developer,Bachelor's Degree,Good,No,90909,1992-01-25,,92590
E00132,Latoya,Wallace,Female,NY,Rochester,2024-12-20,Finance,Financial Analyst,Master's Degree,Satisfactory,No,82726,1980-09-26,,88268
E00133,Courtney,Lopez,Male,CA,San Francisco,2023-10-10,Finance,Financial Analyst,Master's Degree,Needs Improvement,No,89475,1986-04-28,,98422
E00134,Thomas,Willis,Female,FL,Tampa,2015-05-04,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,73155,1977-10-13,,74508
E00135,Kyle,Hardy,Female,IL,Springfield,2020-04-11,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,79168,1992-01-20,,76600
E00136,William,Moreno,Male,IL,Chicago,2018-10-14,Marketing,Marketing Specialist,Associate Degree,Excellent,No,54064,1996-03-15,,51360
E00137,Patrick,Morris,Female,CA,San Diego,2021-07-17,IT,IT Support,Associate Degree,Satisfactory,No,43377,1995-10-18,,39971
E00138,Sandra,Hart,Female,IL,Chicago,2017-07-18,HR,HR Assistant,Associate Degree,Satisfactory,No,44766,1992-11-09,2022-11-28,41251
E00139,Kimberly,Mendoza,Male,NY,Buffalo,2020-04-24,Finance,Accountant,Bachelor's Degree,Satisfactory,No,79612,1992-06-17,,79412
E00140,Cory,Haley,Male,IL,Chicago,2015-02-03,HR,HR Manager,Bachelor's Degree,Satisfactory,No,84252,1979-09-26,,88464
E00141,Matthew,Tate,Male,CA,Los Angeles,2015-02-13,HR,HR Assistant,Associate Degree,Good,No,42149,1980-05-28,,42149
E00142,Kari,Newton,Female,IL,Naperville,2017-02-03,Sales,Sales Representative,High School Diploma,Good,Yes,32183,1994-07-07,,29656
E00143,April,Sanders,Female,TX,Dallas,2018-11-12,Sales,Sales Representative,High School Diploma,Satisfactory,No,56457,1985-09-19,,54763
E00144,Terri,Torres,Female,CA,San Francisco,2023-10-29,Finance,Accountant,Bachelor's Degree,Good,No,73253,1998-12-06,,70877
E00145,Rachel,Gutierrez,Female,NY,Rochester,2016-06-16,Finance,Accountant,Bachelor's Degree,Needs Improvement,No,77151,1981-07-28,,78578
E00146,Jose,Ortiz,Male,CA,San Diego,2019-10-02,IT,Developer,Bachelor's Degree,Excellent,Yes,80473,1988-11-22,,84496
E00147,Christopher,Valdez,Female,NY,Buffalo,2023-09-22,Finance,Accountant,Bachelor's Degree,Excellent,No,62186,1976-12-26,,63336
E00148,Lisa,Moore,Male,TX,Houston,2016-08-29,HR,HR Manager,Bachelor's Degree,Good,Yes,85800,1969-12-07,,90090
E00149,Eric,Walsh,Male,TX,Houston,2016-02-11,Sales,Sales Representative,High School Diploma,Good,Yes,56225,1983-02-09,,56225
E00150,Justin,York,Female,FL,Miami,2019-07-04,Sales,Sales Representative,High School Diploma,Good,Yes,54670,1994-11-10,,50378
E00151,Kathryn,Barnett,Female,CA,Los Angeles,2024-09-20,Sales,Sales Representative,High School Diploma,Good,Yes,35957,1990-09-03,,34878
E00152,Jennifer,Conner,Male,IL,Springfield,2021-09-07,Finance,Financial Analyst,Master's Degree,Satisfactory,No,76764,1978-11-12,,84440
E00153,Jessica,Baker,Male,NY,Rochester,2019-01-11,Sales,Sales Manager,Bachelor's Degree,Good,No,76095,1969-10-07,,79899
E00154,Courtney,Torres,Female,NY,New York,2022-05-28,HR,HR Assistant,Associate Degree,Good,No,41774,1996-12-02,,38494
E00155,Devin,Ellis,Male,FL,Orlando,2015-06-11,Sales,Sales Representative,High School Diploma,Good,Yes,49288,1995-03-12,,46823
E00156,Christopher,Santos,Female,IL,Naperville,2022-02-19,HR,HR Assistant,Associate Degree,Good,No,37926,1990-09-24,,36788
E00157,Sarah,Hill,Female,NY,Buffalo,2016-03-18,Finance,Accountant,Bachelor's Degree,Good,Yes,61720,1988-06-04,,59718
E00158,Sherri,Mccoy,Male,IL,Springfield,2016-04-30,Marketing,Marketing Specialist,Associate Degree,Good,No,57174,1985-09-10,,57174
E00159,John,Baxter,Female,FL,Miami,2018-02-09,Marketing,Marketing Specialist,Associate Degree,Good,Yes,63996,1994-08-12,,58972
E00160,Rebecca,Copeland,Female,IL,Chicago,2016-09-22,Sales,Sales Manager,Bachelor's Degree,Good,No,75111,1983-02-07,,76500
E00161,Chad,Cox,Female,FL,Orlando,2018-07-16,Marketing,Marketing Manager,Bachelor's Degree,Good,No,74682,1980-04-11,,76063
E00162,Harry,Miller,Female,CA,San Francisco,2024-12-08,Marketing,Marketing Specialist,Associate Degree,Good,No,49402,2001-09-12,2025-07-22,45523
E00163,David,Burns,Female,FL,Orlando,2020-01-31,Marketing,Marketing Specialist,Associate Degree,Good,No,45621,1994-08-08,,42039
E00164,Heather,King,Female,FL,Tampa,2020-10-18,Marketing,Marketing Manager,Bachelor's Degree,Needs Improvement,No,69080,1982-02-11,,70357
E00165,Vincent,Henry,Male,NY,Rochester,2022-09-26,Sales,Sales Manager,Bachelor's Degree,Excellent,Yes,85099,1984-09-12,,89353
E00166,Matthew,Davis,Female,TX,Austin,2023-09-05,IT,Developer,Bachelor's Degree,Good,No,79415,1985-04-22,,80884
E00167,Gail,Woods,Male,TX,Houston,2024-01-15,HR,HR Assistant,Associate Degree,Good,Yes,39758,1996-10-07,,37770
E00168,Jeffrey,Gregory,Male,IL,Naperville,2015-06-09,Sales,Sales Manager,Bachelor's Degree,Good,No,87627,1982-09-21,,92008
E00169,Scott,Hall,Female,IL,Chicago,2024-12-07,Finance,Financial Analyst,Master's Degree,Satisfactory,No,70668,1979-06-04,,75402
E00170,Scott,Allen,Male,IL,Naperville,2019-09-17,Finance,Accountant,Bachelor's Degree,Needs Improvement,No,67298,1983-06-01,,70662
E00171,Jacqueline,Barnett,Female,FL,Orlando,2020-10-16,Marketing,Marketing Manager,Bachelor's Degree,Good,No,89146,1989-03-06,,90795
E00172,Anita,Medina,Male,NY,Buffalo,2015-10-30,Finance,Accountant,Bachelor's Degree,Good,No,73860,1983-10-15,,77553
E00173,Sandra,Mathis,Male,TX,Houston,2021-08-13,Finance,Accountant,Bachelor's Degree,Good,Yes,64442,1981-02-14,,67664
E00174,Kathryn,Santana,Female,FL,Miami,2016-12-02,Finance,Accountant,Bachelor's Degree,Good,No,78155,1985-02-13,,79600
E00175,Nathan,Barr,Female,IL,Chicago,2023-04-27,IT,System Admin,Bachelor's Degree,Good,No,70592,1984-10-08,,71897
E00176,Anthony,Mcbride,Female,CA,Los Angeles,2018-12-21,IT,IT Support,Associate Degree,Good,Yes,51397,1992-05-23,2020-12-29,47362
E00177,Tammy,Aguirre,Male,FL,Miami,2016-09-10,Sales,Sales Manager,Bachelor's Degree,Excellent,No,70435,1968-05-23,,73956
E00178,Emily,Baxter,Male,FL,Miami,2020-01-02,Marketing,Marketing Specialist,Associate Degree,Good,No,45136,1993-06-21,,42879
E00179,James,Savage,Female,FL,Miami,2022-10-01,Marketing,Marketing Specialist,Associate Degree,Good,Yes,48073,1997-02-08,,44299
E00180,Kelly,Martin,Female,CA,Los Angeles,2015-07-10,HR,HR Manager,Bachelor's Degree,Satisfactory,Yes,81391,1963-04-27,,87041
E00181,Erik,Thomas,Male,FL,Orlando,2021-10-11,Sales,Sales Representative,High School Diploma,Satisfactory,No,35032,1993-12-03,,33280
E00182,Linda,Watkins,Female,NY,Buffalo,2019-04-01,IT,Developer,Bachelor's Degree,Good,No,88250,1982-05-13,,89882
E00183,Sharon,Smith,Female,IL,Naperville,2018-05-22,IT,System Admin,Bachelor's Degree,Excellent,No,51125,1992-10-26,2023-02-02,49467
E00184,Elizabeth,Campbell,Male,FL,Miami,2021-11-14,Sales,Sales Manager,Bachelor's Degree,Good,No,85273,1980-01-03,,89536
E00185,Darrell,Holden,Male,CA,Los Angeles,2024-01-02,Finance,Financial Analyst,Master's Degree,Excellent,No,85994,1987-03-15,,94593
E00186,Jonathan,Owens,Male,CA,Los Angeles,2024-06-22,Sales,Sales Manager,Bachelor's Degree,Satisfactory,Yes,77249,1994-05-12,,81111
E00187,Kathryn,Johnson,Male,NY,Buffalo,2016-06-03,Marketing,Marketing Manager,Bachelor's Degree,Good,No,94975,1984-07-06,,99723
E00188,Thomas,Fisher,Female,NY,Rochester,2016-09-14,Marketing,Marketing Manager,Bachelor's Degree,Satisfactory,No,67944,1972-01-05,,69200
E00189,James,Washington,Female,NY,Rochester,2023-07-11,Sales,Sales Representative,High School Diploma,Good,Yes,49686,1992-07-11,,48195
E00190,Fred,Miller,Female,IL,Naperville,2017-09-22,HR,HR Assistant,Associate Degree,Satisfactory,No,35640,1985-06-12,,34570
