employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-97971488,Jeffrey,Nguyen,Male,New York,Buffalo,2020-10-25,Operations,Inventory Specialist,Bachelor,65830,Good,Yes,1993-01-13,2021-10-27
00-29175900,Kimberly,Perez,Male,New York,Rochester,2017-01-13,Marketing,Content Creator,Bachelor,68419,Good,No,1970-12-15,2017-08-24
00-85345555,Linda,Morales,Male,New York,New York City,2020-01-26,Sales,Sales Specialist,Bachelor,71110,Needs Improvement,No,1993-05-16,2021-04-09
00-67503414,Jason,Hahn,Male,Ohio,Cleveland,2023-12-07,IT,System Administrator,Bachelor,84205,Excellent,No,1978-02-20,2024-06-04
00-39436733,Jennifer,Lewis,Male,New York,Buffalo,2024-07-12,Sales,Sales Specialist,Master,67953,Satisfactory,No,1982-10-14,2025-01-08
00-76238574,Randall,Rocha,Male,New York,Buffalo,2016-06-27,IT,IT Support Specialist,High School,58445,Good,No,1960-10-21,2021-05-10
00-24716857,Douglas,Taylor,Female,New York,Rochester,2017-10-17,Customer Service,Customer Service Representative,Bachelor,58697,Satisfactory,Yes,1992-08-12,2021-11-16
00-66661351,Anna,Baker,Male,New York,Buffalo,2020-08-15,Sales,Sales Specialist,PhD,77156,Satisfactory,No,1970-06-07,2022-11-17
00-89978790,Ross,Silva,Female,New York,Rochester,2024-05-20,Sales,Sales Specialist,Bachelor,81038,Excellent,No,2002-12-25,2024-11-16
00-84252722,Jeffrey,Bright,Male,New York,New York City,2023-07-17,Finance,Accounts Payable Specialist,Bachelor,71339,Satisfactory,No,1980-06-16,2024-01-13
00-25374874,Trevor,Campos,Male,New York,Buffalo,2022-12-01,Operations,Operations Analyst,Master,81316,Excellent,No,1983-03-17,2023-05-30
00-45812670,Daniel,Burton,Female,New York,Rochester,2022-11-04,IT,Software Developer,Bachelor,96947,Excellent,No,2001-07-19,2024-02-14
00-49392920,Erin,Carlson,Male,New York,New York City,2019-05-30,Operations,Logistics Coordinator,Bachelor,67437,Excellent,No,1984-04-15,2021-04-29
00-45351479,Patrick,Ferrell,Female,Michigan,Detroit,2024-07-24,Sales,Sales Consultant,PhD,116328,Satisfactory,No,1969-06-15,2025-01-20
00-24282218,John,Tran,Male,Virginia,Norfolk,2023-01-05,Operations,Logistics Coordinator,Bachelor,67630,Satisfactory,No,1972-02-10,2024-01-25
00-95758349,Erin,Wilson,Female,New York,New York City,2020-12-09,Operations,Logistics Coordinator,Bachelor,53898,Good,No,1981-09-10,2021-12-11
00-60185867,Amanda,Adams,Female,New York,Buffalo,2022-09-06,Sales,Sales Specialist,Bachelor,61534,Good,No,2003-12-06,2023-03-05
00-81182864,Matthew,Carter,Male,New York,Buffalo,2024-03-02,Marketing,SEO Specialist,High School,78184,Good,Yes,1979-12-22,2024-09-19
00-75579548,Shawn,Mckay,Female,New York,New York City,2015-12-07,Operations,Inventory Specialist,Bachelor,56559,Good,Yes,1980-05-14,2023-03-13
00-51273847,Jennifer,Stanton,Male,New York,Rochester,2017-10-23,Customer Service,Support Specialist,Bachelor,68635,Satisfactory,No,1960-01-04,2018-12-02
00-20570592,Guy,Gaines,Male,New York,New York City,2016-12-04,Sales,Sales Representative,Bachelor,80367,Satisfactory,Yes,2002-11-10,2017-06-02
00-19289546,Colleen,Skinner,Female,New York,Buffalo,2024-07-16,Operations,Inventory Specialist,Bachelor,63169,Good,No,1981-12-27,2025-01-12
00-26879290,Chelsea,Hernandez,Female,Pennsylvania,Philadelphia,2016-10-23,Sales,Sales Consultant,Master,71142,Needs Improvement,No,1982-11-14,2019-06-05
00-32162965,Evan,Ashley,Male,New York,Buffalo,2017-12-25,Operations,Inventory Specialist,High School,58830,Good,Yes,1983-10-12,2018-12-07
00-38427073,Alyssa,Smith,Female,Michigan,Grand Rapids,2024-05-05,Customer Service,Customer Service Representative,Bachelor,66218,Satisfactory,No,1970-05-20,2024-11-01
00-36998038,Tracy,Rodriguez,Female,New York,Rochester,2022-05-21,Marketing,SEO Specialist,High School,88887,Good,No,1979-12-03,2022-11-17
00-97225156,Natasha,Decker,Male,New York,Buffalo,2018-04-30,Sales,Sales Consultant,PhD,72859,Satisfactory,No,1959-08-31,2023-11-16
00-26240908,John,Allen,Male,New York,Rochester,2017-08-09,Operations,Logistics Coordinator,Bachelor,67630,Excellent,Yes,1985-02-10,2018-02-05
00-12823170,Stacey,Miller,Male,New York,Rochester,2020-07-07,Operations,Inventory Specialist,Bachelor,61574,Excellent,No,1991-07-17,2024-12-14
00-39557077,Lisa,Spence,Male,New York,New York City,2015-07-26,IT,Software Developer,Master,103756,Excellent,No,1970-09-20,2023-12-18
00-17901903,Katie,Anderson,Male,New York,Rochester,2017-07-04,Operations,Logistics Coordinator,Bachelor,63227,Excellent,Yes,1981-01-21,2021-12-29
00-54349361,Stacey,Martin,Male,New York,Rochester,2016-07-23,Operations,Inventory Specialist,High School,63680,Good,No,1993-04-22,2017-10-15
00-99788677,Monique,Henderson,Female,New York,Rochester,2019-03-24,Customer Service,Help Desk Technician,Bachelor,90880,Satisfactory,No,1967-07-20,2019-09-20
00-86644106,Sarah,Campos,Female,Pennsylvania,Philadelphia,2020-09-24,Marketing,Content Creator,High School,52954,Excellent,No,1983-07-04,2022-09-02
00-73481353,James,Collins,Female,New York,Rochester,2023-09-18,Operations,Inventory Specialist,Bachelor,64475,Good,Yes,1977-06-11,2024-03-16
00-23009833,Debra,Kim,Female,Pennsylvania,Allentown,2022-07-21,Sales,Sales Specialist,PhD,93238,Satisfactory,No,1980-02-22,2023-01-17
00-65177213,Shannon,Wright,Female,Michigan,Grand Rapids,2019-01-25,Operations,Inventory Specialist,High School,58713,Good,Yes,2002-12-30,2022-12-12
00-97705310,Matthew,Chapman,Female,New York,Buffalo,2024-03-30,IT,Software Developer,Bachelor,91896,Needs Improvement,No,1969-10-15,2024-09-26
00-64038913,Brianna,Smith,Male,New York,New York City,2022-10-02,Operations,Inventory Specialist,Bachelor,71608,Excellent,Yes,1974-02-13,2023-03-31
00-35714784,Crystal,Perez,Female,New York,Rochester,2017-12-18,Finance,Financial Analyst,Bachelor,71404,Satisfactory,No,1983-08-02,2018-06-16
00-66623995,Anthony,Rivera,Male,New York,Rochester,2017-07-19,Operations,Logistics Coordinator,Bachelor,59423,Good,No,1992-03-01,2021-05-16
00-20117988,John,Caldwell,Female,New York,Buffalo,2019-03-25,Operations,Operations Analyst,Bachelor,64183,Needs Improvement,No,1982-11-14,2019-09-21
00-16789850,Amber,Cummings,Male,New York,New York City,2022-12-09,Operations,Operations Analyst,Master,76824,Good,No,1986-08-06,2023-06-07
00-11980765,Ashley,Kennedy,Female,New York,Buffalo,2024-10-31,Finance,Accountant,Bachelor,54093,Satisfactory,No,2003-04-19,2025-04-29
00-64547971,Thomas,Russell,Male,New York,Rochester,2019-02-06,Finance,Accountant,Bachelor,95124,Needs Improvement,Yes,1964-01-30,2021-03-05
00-63826716,Collin,Jordan,Female,New York,Rochester,2023-06-14,Sales,Sales Specialist,Master,68345,Good,No,1965-10-09,2023-12-11
00-10289289,Robert,Shields,Female,New York,New York City,2024-01-22,Customer Service,Help Desk Technician,Bachelor,61403,Good,Yes,1978-08-24,2024-07-20
00-71070189,Emily,Joyce,Male,New York,Rochester,2017-02-08,Operations,Inventory Specialist,Bachelor,60320,Good,No,1988-09-24,2023-08-27
00-84593961,Bruce,Chandler,Female,New York,Rochester,2022-11-07,Operations,Inventory Specialist,High School,55060,Excellent,No,1966-02-24,2023-05-06
00-35487660,Michelle,Wright,Male,New York,Rochester,2017-03-15,Operations,Operations Manager,Master,82834,Good,No,1963-08-17,2018-05-06
00-82772208,Amanda,Taylor,Female,New York,Buffalo,2016-03-12,Finance,Financial Analyst,PhD,76564,Satisfactory,Yes,1988-08-05,2016-11-17
00-16729990,Joshua,Wright,Male,New York,Rochester,2020-12-24,Finance,Accountant,Bachelor,63056,Good,No,1991-11-02,2024-07-30
00-81286543,Charles,Morton,Male,New York,Rochester,2017-11-29,Finance,Accountant,Bachelor,78616,Satisfactory,No,1984-10-08,2018-05-28
00-34941004,Andrea,Williams,Male,New York,Buffalo,2016-07-28,Operations,Inventory Specialist,High School,57716,Good,No,1960-05-25,2017-01-24
00-41568532,Mary,Novak,Female,New York,Buffalo,2019-12-26,Operations,Logistics Coordinator,Bachelor,61198,Satisfactory,No,1981-07-08,2020-06-23
00-87701200,Karen,Young,Male,New York,New York City,2020-06-06,IT,IT Support Specialist,Bachelor,58331,Excellent,No,2001-07-19,2020-12-03
00-66267415,Todd,Lewis,Female,Ohio,Cincinnati,2022-06-05,Operations,Logistics Coordinator,Bachelor,62398,Good,No,1966-03-22,2024-11-06
00-52462441,Rachel,Martin,Male,New York,Rochester,2024-01-01,Sales,Sales Consultant,Bachelor,94930,Excellent,Yes,1984-09-20,2024-06-29
00-52169044,Tricia,Baker,Female,New York,Buffalo,2017-11-01,Customer Service,Customer Service Representative,Bachelor,59179,Good,Yes,1998-07-22,2021-03-06
00-96637649,Kristen,Mitchell,Male,North Carolina,Greensboro,2017-09-28,Operations,Logistics Coordinator,Bachelor,74555,Good,Yes,1976-06-11,2024-02-06
00-19736572,Susan,Cowan,Male,New York,Buffalo,2015-08-04,Sales,Sales Manager,PhD,74371,Good,No,1989-10-28,2017-09-29
00-23419256,Dorothy,Tucker,Female,New York,Rochester,2016-03-14,Marketing,SEO Specialist,Bachelor,81253,Excellent,No,1990-09-12,2016-09-10
00-45594597,Kenneth,Novak,Female,New York,Rochester,2017-08-13,Customer Service,Customer Service Representative,High School,56922,Good,No,1988-10-26,2020-03-10
00-42787299,Jill,Brown,Female,New York,Buffalo,2018-05-02,Marketing,Content Creator,Bachelor,65108,Satisfactory,Yes,1982-07-09,2020-03-12
00-82909480,Brian,Silva,Female,New York,Buffalo,2022-07-15,Operations,Logistics Coordinator,Bachelor,61958,Good,No,1975-11-26,2023-01-11
00-97775215,Samantha,Schmidt,Female,New York,Rochester,2020-01-23,Customer Service,Support Specialist,Bachelor,55038,Good,No,1999-02-06,2022-07-30
00-84437458,Susan,Miller,Female,New York,Buffalo,2017-03-14,HR,HR Coordinator,Master,63666,Excellent,No,2002-03-04,2023-04-20
00-28024248,Casey,Jones,Female,New York,Rochester,2017-12-01,Customer Service,Help Desk Technician,High School,58264,Excellent,No,1979-12-05,2021-02-11
00-84252420,Joe,Wilson,Male,New York,New York City,2017-12-12,Sales,Sales Representative,Bachelor,65128,Satisfactory,No,2003-03-04,2022-09-27
00-38270233,Ashley,Riley,Male,New York,Rochester,2022-01-16,Sales,Sales Consultant,Master,69316,Good,No,1967-08-31,2022-07-15
00-95125977,Christine,Barnes,Male,New York,New York City,2023-08-15,Operations,Inventory Specialist,High School,56431,Good,No,1992-11-17,2024-02-11
00-43704923,Annette,Stewart,Male,New York,Buffalo,2023-04-12,Sales,Sales Representative,Bachelor,79043,Good,No,1997-07-15,2023-10-09
00-95132217,James,Moran,Female,New York,Rochester,2019-04-03,Marketing,Marketing Coordinator,Bachelor,59137,Good,No,1988-11-24,2024-09-03
00-10475894,Joseph,Anderson,Male,New York,Buffalo,2018-09-08,IT,Software Developer,Bachelor,89897,Good,No,1983-01-18,2019-07-16
00-45159040,Kevin,Stewart,Female,New York,New York City,2017-10-19,IT,Software Developer,Bachelor,80501,Good,No,1984-09-26,2021-02-02
00-67403166,Shari,Smith,Male,Michigan,Detroit,2020-08-29,Operations,Operations Analyst,Master,83772,Satisfactory,Yes,1984-05-01,2021-02-25
00-30005727,Yolanda,Ferrell,Male,New York,New York City,2020-01-29,Operations,Operations Analyst,Master,55106,Excellent,No,1982-10-31,2020-07-27
00-84158663,Amanda,Wagner,Male,New York,New York City,2017-02-21,IT,Software Developer,Bachelor,88492,Good,No,1987-10-28,2017-11-18
00-51373735,Sarah,Ibarra,Male,New York,Buffalo,2018-12-08,Customer Service,Help Desk Technician,High School,82441,Satisfactory,No,1976-08-23,2021-04-25
00-38195995,John,Mitchell,Male,Michigan,Warren,2022-06-20,Finance,Accountant,Bachelor,85555,Good,Yes,1962-10-23,2022-12-17
00-57469942,Martha,Warner,Female,New York,Rochester,2023-08-26,Sales,Sales Consultant,Bachelor,64372,Satisfactory,No,1989-08-27,2024-02-22
00-30743797,Tonya,Roman,Female,Michigan,Grand Rapids,2024-07-24,Customer Service,Customer Service Representative,Bachelor,63278,Good,No,1971-04-10,2025-01-20
00-31810617,Alan,Montoya,Male,Virginia,Virginia Beach,2024-04-26,Marketing,Content Creator,Bachelor,65358,Needs Improvement,No,1998-03-01,2024-10-23
00-13326769,Sarah,Garcia,Male,Michigan,Grand Rapids,2017-12-08,IT,System Administrator,Bachelor,77267,Good,Yes,1983-12-29,2018-06-06
00-65259205,Dennis,Wilson,Female,New York,New York City,2023-02-11,Sales,Sales Representative,Bachelor,51865,Good,Yes,2002-04-03,2023-08-10
00-43308443,Julia,Moore,Male,New York,Buffalo,2017-04-20,IT,System Administrator,Master,92780,Good,No,1970-10-19,2024-12-19
00-61343880,Cassandra,Robbins,Female,Pennsylvania,Allentown,2023-03-21,Customer Service,Customer Service Representative,Bachelor,52588,Good,No,1992-05-31,2023-09-17
00-36786211,Grace,Farrell,Female,Michigan,Detroit,2023-07-16,Operations,Inventory Specialist,Bachelor,64186,Good,No,1972-07-19,2024-01-12
00-50962024,Tracy,Whitehead,Male,New York,Rochester,2023-11-25,Operations,Inventory Specialist,High School,61124,Satisfactory,No,1978-06-21,2024-05-23
00-13176186,Brent,Walters,Female,New York,Rochester,2022-11-19,HR,Recruiter,High School,65797,Good,No,1982-08-12,2023-05-18
00-47393469,Joshua,Smith,Female,Illinois,Aurora,2023-10-27,Sales,Sales Manager,Master,114050,Satisfactory,Yes,2001-02-20,2024-04-24
00-96098221,David,Whitney,Female,New York,Rochester,2020-03-03,Customer Service,Help Desk Technician,High School,64313,Excellent,Yes,1975-11-08,2020-08-30
00-81969657,Joyce,Arnold,Male,Michigan,Grand Rapids,2018-06-16,Customer Service,Support Specialist,Bachelor,63557,Satisfactory,No,1989-10-07,2022-04-07
00-45059710,Ann,Rodriguez,Male,Michigan,Detroit,2017-12-09,Operations,Inventory Specialist,High School,59128,Satisfactory,No,1985-12-25,2019-06-12
00-24549543,Hannah,Hernandez,Female,New York,Rochester,2020-01-14,Customer Service,Support Specialist,High School,54770,Needs Improvement,Yes,1989-03-26,2020-07-12
00-52101056,Mary,Aguilar,Male,New York,Buffalo,2019-02-27,Customer Service,Support Specialist,Bachelor,64438,Satisfactory,No,2001-04-30,2019-08-26
00-61700055,Russell,Williams,Female,New York,Rochester,2023-05-22,HR,Recruiter,High School,58119,Good,Yes,1970-07-15,2023-11-18
00-15957459,Rachel,Flynn,Female,North Carolina,Raleigh,2022-12-01,Customer Service,Help Desk Technician,High School,82922,Satisfactory,No,1976-06-16,2023-05-30
00-82269803,Bill,Howard,Female,New York,Buffalo,2022-09-22,Marketing,Marketing Coordinator,Bachelor,74811,Satisfactory,No,1972-03-20,2023-03-21
00-36445607,John,Garcia,Male,North Carolina,Greensboro,2018-10-30,Finance,Financial Analyst,PhD,93475,Good,No,1982-12-18,2021-08-25
00-54318698,Anita,Baxter,Male,Ohio,Cleveland,2021-08-30,Customer Service,Customer Service Representative,High School,59676,Good,No,2002-02-01,2022-02-26
00-26726926,Kara,Frost,Male,New York,Rochester,2022-04-02,Sales,Sales Representative,Bachelor,77283,Needs Improvement,Yes,1968-01-16,2022-09-29
00-51511484,Michelle,Cherry,Male,New York,Buffalo,2022-11-11,Marketing,Content Creator,Bachelor,62224,Satisfactory,No,1980-02-06,2023-05-10
00-49682169,Gregory,Gutierrez,Male,New York,New York City,2020-03-10,Operations,Logistics Coordinator,Bachelor,68683,Needs Improvement,Yes,1997-03-20,2020-09-06
00-99245317,Jill,Cook,Female,New York,Rochester,2024-12-27,Customer Service,Customer Service Representative,High School,63830,Good,Yes,1967-02-13,2025-06-25
00-33357554,Robert,Santiago,Male,New York,New York City,2021-10-13,Sales,Sales Specialist,Master,75850,Good,No,1998-10-05,2022-04-11
00-83542887,Lisa,Adams,Male,New York,New York City,2023-11-02,Customer Service,Help Desk Technician,High School,82965,Excellent,Yes,1996-01-08,2024-04-30
00-38210242,Jacqueline,Reyes,Female,New York,Buffalo,2019-01-16,Operations,Logistics Coordinator,Bachelor,54011,Good,No,1974-01-10,2019-07-15
00-97873101,Michele,Walker,Male,New York,Rochester,2018-11-14,Sales,Sales Representative,Bachelor,80131,Good,Yes,1979-06-10,2022-02-04
00-38682516,Samantha,Bailey,Female,New York,Buffalo,2020-11-14,Operations,Inventory Specialist,Bachelor,55778,Good,No,2000-06-07,2021-05-13
00-98429450,Laura,Perez,Male,New York,New York City,2016-01-10,Sales,Sales Consultant,PhD,88444,Good,No,1965-11-06,2021-10-20
00-94951883,Donna,Ross,Female,New York,New York City,2021-04-19,Sales,Sales Representative,Bachelor,75303,Good,No,1969-12-02,2022-04-27
00-41523529,Michelle,Rasmussen,Female,North Carolina,Greensboro,2022-04-19,IT,Software Developer,Master,98297,Good,Yes,1999-11-18,2022-10-16
00-36726767,Michael,Hicks,Male,Illinois,Chicago,2017-09-21,Sales,Sales Representative,Bachelor,65506,Good,Yes,1999-02-09,2024-04-01
00-73771720,Tina,Herrera,Male,New York,Buffalo,2021-01-11,Finance,Financial Analyst,PhD,86731,Satisfactory,No,1991-10-07,2021-07-10
00-65625330,Darrell,Waller,Male,New York,Rochester,2023-03-11,Sales,Sales Representative,Bachelor,78643,Satisfactory,Yes,1974-01-02,2023-09-07
00-61536717,Beverly,Terrell,Female,Michigan,Warren,2020-01-15,Customer Service,Customer Service Representative,Bachelor,64159,Good,No,1976-01-27,2020-07-13
00-98054615,Daniel,Hamilton,Male,New York,New York City,2022-10-10,Sales,Sales Representative,Bachelor,66358,Good,No,1982-02-07,2023-04-08
00-67062156,Kristin,Graham,Female,Michigan,Warren,2017-07-18,Operations,Inventory Specialist,Bachelor,57185,Good,No,1982-09-13,2021-11-22
00-72350830,Darrell,Lam,Female,New York,Rochester,2016-03-14,IT,IT Support Specialist,Bachelor,57924,Excellent,Yes,1993-07-12,2018-07-25
00-26288475,Jonathan,Fletcher,Female,New York,Rochester,2019-01-01,Operations,Inventory Specialist,Bachelor,57730,Satisfactory,No,1971-07-01,2024-08-20
00-81287314,April,Drake,Female,New York,Buffalo,2024-09-23,Operations,Inventory Specialist,High School,56753,Satisfactory,No,1975-11-10,2025-03-22
00-69401199,Jennifer,Harmon,Male,New York,Buffalo,2021-09-18,Sales,Sales Representative,Bachelor,62015,Good,No,1975-07-31,2022-03-17
00-67276174,James,Reynolds,Male,New York,New York City,2023-09-15,Operations,Operations Analyst,Bachelor,82241,Needs Improvement,No,1997-02-04,2024-03-13
00-31361812,Samantha,Hanson,Female,New York,Buffalo,2022-09-15,Sales,Sales Consultant,PhD,87980,Good,No,1983-02-19,2023-03-14
00-44788100,Melanie,Cortez,Female,New York,Rochester,2022-04-27,Sales,Sales Representative,Bachelor,68240,Good,No,1987-03-19,2022-10-24
00-79967676,William,Estrada,Male,New York,New York City,2019-05-07,Operations,Operations Manager,Bachelor,109148,Good,No,1985-03-30,2020-08-24
00-69038700,Richard,Phillips,Female,New York,Buffalo,2016-02-19,Operations,Operations Analyst,Bachelor,77304,Satisfactory,No,2001-10-30,2017-10-26
00-46468984,James,Ortega,Male,New York,Rochester,2018-05-28,Sales,Sales Specialist,Bachelor,71634,Satisfactory,Yes,1980-12-05,2024-05-13
00-28572252,Erica,Orr,Male,New York,Rochester,2017-08-28,IT,IT Support Specialist,Bachelor,73488,Satisfactory,No,1988-12-12,2022-11-06
00-30509175,Ashley,Sullivan,Male,New York,Rochester,2022-11-20,Operations,Inventory Specialist,High School,61678,Good,No,1982-11-02,2023-05-19
00-64707061,Aaron,Mitchell,Female,New York,Rochester,2018-06-16,IT,Software Developer,Bachelor,94594,Satisfactory,No,1992-06-18,2018-12-13
00-18357162,Kristi,Lawson,Male,Michigan,Detroit,2017-05-06,Operations,Inventory Specialist,Bachelor,76197,Satisfactory,No,1968-03-03,2017-11-02
00-88393811,Steven,Ramos,Female,New York,Rochester,2024-03-23,Operations,Logistics Coordinator,Bachelor,60859,Satisfactory,No,1995-06-11,2024-09-19
00-87267850,William,Leon,Female,New York,New York City,2018-11-06,Marketing,Content Creator,High School,52939,Satisfactory,No,1997-11-23,2019-05-05
00-50079111,Jill,Hopkins,Male,New York,Buffalo,2022-04-21,Sales,Sales Specialist,PhD,62230,Satisfactory,No,1993-09-08,2024-06-09
00-83300637,Zachary,Schultz,Male,New York,Rochester,2023-05-11,IT,IT Support Specialist,Bachelor,68297,Good,No,1998-11-08,2023-11-07
00-39450273,Clarence,Crane,Male,New York,Buffalo,2017-04-02,Operations,Inventory Specialist,High School,62190,Good,No,1999-11-08,2017-09-29
00-62191530,Emily,Walker,Female,North Carolina,Charlotte,2018-03-19,IT,Software Developer,Master,96606,Satisfactory,No,1960-04-17,2018-09-15
00-64266464,Dylan,Williams,Male,New York,New York City,2022-07-04,Operations,Inventory Specialist,High School,55854,Good,No,1986-01-02,2022-12-31
00-93517915,Cheryl,Mack,Female,Ohio,Cleveland,2020-06-25,Customer Service,Customer Service Representative,Bachelor,54580,Satisfactory,No,1996-10-13,2020-12-22
00-85751409,Robert,Soto,Female,New York,New York City,2022-03-17,Operations,Inventory Specialist,Bachelor,58131,Satisfactory,No,1998-05-30,2022-09-13
00-67527432,Jennifer,Cruz,Female,Ohio,Cincinnati,2017-06-05,Operations,Inventory Specialist,Bachelor,64260,Good,Yes,1972-08-15,2021-12-17
00-16749089,John,Douglas,Female,Michigan,Grand Rapids,2017-01-03,Customer Service,Help Desk Technician,High School,63590,Satisfactory,No,1996-05-15,2021-09-24
00-71028710,Patricia,Dalton,Female,New York,Buffalo,2018-12-10,Customer Service,Customer Service Representative,High School,63956,Excellent,No,1971-08-30,2021-05-23
00-66581473,Daniel,Coleman,Male,Michigan,Warren,2017-03-10,Marketing,Content Creator,Bachelor,67857,Good,No,1983-12-11,2024-05-07
00-12601580,Linda,Dominguez,Female,New York,New York City,2022-06-30,Customer Service,Customer Service Representative,Bachelor,53458,Good,No,1988-02-22,2022-12-27
00-40094589,Brent,Wright,Male,New York,Buffalo,2022-11-26,IT,System Administrator,Master,68344,Good,Yes,1994-03-28,2023-05-25
00-14164775,David,Anderson,Female,New York,Buffalo,2024-06-29,Customer Service,Customer Service Manager,Bachelor,67027,Needs Improvement,No,1985-07-23,2024-12-26
00-12735359,Elizabeth,Travis,Female,New York,Buffalo,2021-08-20,Sales,Sales Representative,Bachelor,66258,Good,No,2002-12-13,2022-02-16
00-73560289,Logan,Fischer,Male,New York,New York City,2022-06-21,Sales,Sales Representative,Bachelor,64327,Satisfactory,Yes,1971-08-19,2022-12-18
00-72415804,Cheyenne,Ball,Male,Michigan,Grand Rapids,2022-07-16,IT,Software Developer,Bachelor,91360,Good,Yes,1981-11-18,2023-01-12
00-91321540,Ronald,Meadows,Male,New York,Rochester,2021-06-23,Marketing,SEO Specialist,Bachelor,73844,Satisfactory,No,1973-11-23,2021-12-20
00-25372341,Phyllis,Manning,Male,New York,Buffalo,2023-07-04,Operations,Logistics Coordinator,Bachelor,65413,Satisfactory,No,1997-08-10,2023-12-31
00-24508768,Shannon,Walton,Male,New York,New York City,2020-11-22,IT,Software Developer,Bachelor,95493,Good,No,1972-04-10,2021-05-21
00-60372847,Dana,Cannon,Male,Michigan,Grand Rapids,2019-07-22,Sales,Sales Representative,Bachelor,82548,Satisfactory,No,1995-02-28,2022-06-08
00-20200074,Todd,Allen,Female,New York,Rochester,2020-06-19,Finance,Financial Analyst,Bachelor,95235,Good,No,1972-11-07,2020-12-16
00-23676961,Chris,Mitchell,Female,New York,New York City,2022-04-16,Marketing,SEO Specialist,Bachelor,81450,Good,No,1962-11-24,2022-10-13
